hcp_id,hcp_uci,one_key,twitter_id,twitter_hander,annotation_date,country_code,specialty_group
depricated,000000000007665502,depricated,3035190334,CongorNadj,27-03-2023 00:00,RS,NEUROLOGY
depricated,000000000008045564,depricated,1357391074701041667,GoranMitrovi10,27-03-2023 00:00,RS,NEUROLOGY
depricated,000000000010846523,depricated,1469066073052000272,LorandSakalas,28-03-2023 00:00,RS,NEUROLOGY
depricated,000000000018811814,depricated,1537805398979256321,DrNenadPetrovic,24-03-2023 00:00,RS,NEUROLOGY
depricated,000000000018828821,depricated,43662384,vukmilosevic,24-03-2023 00:00,RS,NEUROLOGY
depricated,000000000019073791,depricated,1480262645794185218,MBudimkic,23-03-2023 00:00,RS,NEUROLOGY
depricated,000000000021431896,depricated,1469036521164529666,CerovacNatasa,29-03-2023 00:00,RS,NEUROLOGY
